var1,var2,var3,var4,var5
17.69180712,35.33254417,1.678051449,400.5886293,0.00100547
2.696284348,10.99839075,2.710881037,939.8929125,0.00891659
2.280584886,27.20398207,7.447695326,975.864916,0.001525315
0.987818104,31.67857752,4.492973919,348.0647371,0.000967388
14.8169516,45.51035522,4.32075323,668.1445921,0.009657359
10.24649746,47.83276386,0.410099228,72.14337583,0.008690667
11.42014266,31.35982664,3.343730376,513.9743806,0.003748183
16.71073185,10.40056222,6.08184122,631.7262191,0.009447334
0.404893688,2.444446923,3.58373525,256.3083104,0.00374597
18.49774251,3.843967264,8.967252956,972.1364057,0.009287794
7.629081218,49.70586815,7.760428178,526.3305421,0.002267972
10.45036171,14.29632592,3.455648079,89.42763399,0.002376911
15.45888067,37.81979309,4.581854623,816.1048979,0.002226792
0.556991229,25.38879739,9.757325405,658.4862171,0.006506231
3.623287493,36.9990201,5.974465205,298.0443301,0.001964769
0.726664624,45.70371191,2.962049104,359.8317512,0.002330686
7.913387718,3.916498458,1.951229652,768.772206,0.004586118
6.196879735,39.41704692,5.50613411,654.291118,0.00583212
6.005050317,40.75206211,9.519814464,650.6459621,0.008721076
8.68448839,31.93919917,5.150714979,616.4711611,0.002322437
17.73284853,7.748286671,9.200145566,405.4669924,0.00275189
5.483853592,38.66614491,4.995832898,225.4880116,0.005237583
7.419650281,16.4666036,6.382830716,329.614348,0.005316411
9.467476791,33.19263965,6.537076457,537.5613208,0.005296854
11.70272553,29.19894064,8.025625494,865.1694689,0.006454279
11.55655079,29.68509662,4.005341019,936.1960635,0.003913771
18.59560687,8.901585468,7.154051449,418.8048024,0.003220896
2.85317625,29.11559486,2.60125975,768.3679892,0.006608232
1.381255472,16.63613811,0.677088026,890.0008513,0.000412581
15.16953892,11.28826105,5.437380556,828.9034841,0.008128541
12.1594297,45.1676791,5.437963975,591.9492812,0.001808708
16.91657149,11.38292133,8.939496341,980.8166436,0.008784343
19.30143476,42.87628716,5.357990238,602.8461419,0.00547179
8.628208182,23.4884861,5.525790899,658.4216152,0.003231115
1.942625887,20.39866929,1.575364503,115.4784588,0.000864029
5.197293058,32.17299051,0.626586503,867.5729242,0.00570944
5.067967662,39.60815504,1.349527217,546.4345792,0.006586012
10.35459737,8.023484537,0.64506032,289.0745386,0.00921261
12.32062372,38.27649967,1.28022533,831.2862703,0.009283621
17.18432006,20.08362561,9.78056179,772.9162299,0.009122101
8.075238359,25.08508972,1.019216533,441.7609483,0.007502588
5.563741202,35.23877524,9.543337687,28.98105054,0.002229008
14.9473369,41.39155603,9.914823108,853.2797464,0.002093471
18.84408871,8.235145899,8.448517168,592.2696643,0.000358786
11.3524647,49.21174429,6.227322325,890.7460831,0.009536402
5.970896237,31.55685661,9.191285793,546.4376958,0.008523313
15.20269392,36.20727022,5.879715802,155.1207659,0.007206499
11.90335914,11.17686814,9.541635501,390.6854617,0.007688761
2.112912684,37.64089852,3.354457858,836.2105402,0.000221167
12.15491128,6.380590336,8.684675052,32.67557425,0.003460008
9.300700813,28.27724236,2.760767354,283.0527068,0.003869163
5.352872637,18.74889934,6.834330959,231.347541,0.006335507
0.554023696,20.75321566,2.188669726,14.97991133,0.008151045
5.38135665,26.73416127,5.667064539,895.0309079,0.000173041
5.268294402,19.88323505,0.380931751,327.6485546,0.005154108
12.56775047,44.24060766,5.57229789,678.3416466,0.007048311
0.396785959,20.01786563,1.567181194,889.3622092,0.002292105
9.55678447,21.87264465,0.032225355,611.0152586,0.005193003
1.950570918,17.40463971,5.593348526,695.7306829,0.00136287
